areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2020-10-11,125
K02000001,United Kingdom,overview,2020-10-10,104
K02000001,United Kingdom,overview,2020-10-09,80
K02000001,United Kingdom,overview,2020-10-08,95
K02000001,United Kingdom,overview,2020-10-07,102
K02000001,United Kingdom,overview,2020-10-06,71
K02000001,United Kingdom,overview,2020-10-05,72
K02000001,United Kingdom,overview,2020-10-04,60
K02000001,United Kingdom,overview,2020-10-03,67
K02000001,United Kingdom,overview,2020-10-02,69
K02000001,United Kingdom,overview,2020-10-01,67
K02000001,United Kingdom,overview,2020-09-30,57
K02000001,United Kingdom,overview,2020-09-29,48
K02000001,United Kingdom,overview,2020-09-28,54
K02000001,United Kingdom,overview,2020-09-27,49
K02000001,United Kingdom,overview,2020-09-26,39
K02000001,United Kingdom,overview,2020-09-25,33
K02000001,United Kingdom,overview,2020-09-24,35
K02000001,United Kingdom,overview,2020-09-23,58
K02000001,United Kingdom,overview,2020-09-22,40
K02000001,United Kingdom,overview,2020-09-21,27
K02000001,United Kingdom,overview,2020-09-20,32
K02000001,United Kingdom,overview,2020-09-19,20
K02000001,United Kingdom,overview,2020-09-18,24
K02000001,United Kingdom,overview,2020-09-17,28
K02000001,United Kingdom,overview,2020-09-16,27
K02000001,United Kingdom,overview,2020-09-15,18
K02000001,United Kingdom,overview,2020-09-14,21
K02000001,United Kingdom,overview,2020-09-13,17
K02000001,United Kingdom,overview,2020-09-12,18
K02000001,United Kingdom,overview,2020-09-11,13
K02000001,United Kingdom,overview,2020-09-10,13
K02000001,United Kingdom,overview,2020-09-09,10
K02000001,United Kingdom,overview,2020-09-08,10
K02000001,United Kingdom,overview,2020-09-07,15
K02000001,United Kingdom,overview,2020-09-06,9
K02000001,United Kingdom,overview,2020-09-05,13
K02000001,United Kingdom,overview,2020-09-04,9
K02000001,United Kingdom,overview,2020-09-03,10
K02000001,United Kingdom,overview,2020-09-02,10
K02000001,United Kingdom,overview,2020-09-01,5
K02000001,United Kingdom,overview,2020-08-31,10
K02000001,United Kingdom,overview,2020-08-30,6
K02000001,United Kingdom,overview,2020-08-29,5
K02000001,United Kingdom,overview,2020-08-28,11
K02000001,United Kingdom,overview,2020-08-27,9
K02000001,United Kingdom,overview,2020-08-26,11
K02000001,United Kingdom,overview,2020-08-25,12
K02000001,United Kingdom,overview,2020-08-24,6
K02000001,United Kingdom,overview,2020-08-23,16
K02000001,United Kingdom,overview,2020-08-22,9
K02000001,United Kingdom,overview,2020-08-21,7
K02000001,United Kingdom,overview,2020-08-20,8
K02000001,United Kingdom,overview,2020-08-19,4
K02000001,United Kingdom,overview,2020-08-18,9
K02000001,United Kingdom,overview,2020-08-17,12
K02000001,United Kingdom,overview,2020-08-16,4
K02000001,United Kingdom,overview,2020-08-15,12
K02000001,United Kingdom,overview,2020-08-14,7
K02000001,United Kingdom,overview,2020-08-13,9
K02000001,United Kingdom,overview,2020-08-12,7
K02000001,United Kingdom,overview,2020-08-11,10
K02000001,United Kingdom,overview,2020-08-10,13
K02000001,United Kingdom,overview,2020-08-09,9
K02000001,United Kingdom,overview,2020-08-08,14
K02000001,United Kingdom,overview,2020-08-07,13
K02000001,United Kingdom,overview,2020-08-06,9
